week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-10-01,Films (English),2,Love is in the Air,,1.4833,11700000.0,tt28073548
2023-10-01,Films (English),3,The Black Book,,2.0667,11200000.0,tt24083908
2023-10-01,Films (English),4,Spy Kids: Armageddon,,1.6333,9000000.0,tt13978520
2023-10-01,Films (English),5,The Croods: A New Age,,1.5833,8900000.0,tt2850386
2023-10-01,Films (English),6,Love at First Sight,,1.5167,7500000.0,tt2183014
2023-10-01,Films (English),7,Accused,,1.4667,3300000.0,tt12648266
2023-10-01,Films (English),8,The Machine,,1.8667,3100000.0,tt11040844
2023-10-01,Films (English),9,In Time,,1.8167,3000000.0,tt1637688
2023-10-01,Films (English),10,Force of Nature,,1.65,2700000.0,tt1722514
2023-10-01,Films (Non-English),1,Nowhere,,1.8167,23800000.0,tt15789472
2023-10-01,Films (Non-English),2,Forgotten Love,,2.3333,11900000.0,tt26596953
2023-10-01,Films (Non-English),3,Overhaul,,1.6667,8500000.0,tt16427938
2023-10-01,Films (Non-English),4,Jaane Jaan,,2.3167,6400000.0,tt15748830
2023-10-01,Films (Non-English),5,Street Flow 2,,1.6333,4000000.0,tt27045321
2023-10-01,Films (Non-English),6,"Ice Cold: Murder, Coffee and Jessica Wongso",,1.4333,2100000.0,tt28840429
2023-10-01,Films (Non-English),7,Gandeevadhari Arjuna,,2.25,1700000.0,tt26234970
2023-10-01,Films (Non-English),8,Do Not Disturb,,1.9167,1400000.0,tt23049270
2023-10-01,Films (Non-English),9,Ehrengard: The Art of Seduction,,1.5833,1300000.0,tt27727074
2023-10-01,Films (Non-English),10,Once Upon a Crime,,1.7833,1200000.0,tt15944018
2023-10-01,TV (English),1,Sex Education,4.0,8.1,13400000.0,tt7767422
2023-10-01,TV (English),2,Who Killed Jill Dando?,1.0,2.3167,5500000.0,tt26445771
2023-10-01,TV (English),3,Love Is Blind,5.0,6.7833,5300000.0,tt2620890
2023-10-01,TV (English),4,Murdaugh Murders: A Southern Scandal,2.0,1.7833,4500000.0,tt26340238
2023-10-01,TV (English),5,Encounters,1.0,3.3833,4400000.0,tt31308366
2023-10-01,TV (English),6,ONE PIECE,1.0,7.5667,3800000.0,tt11737520
2023-10-01,TV (English),7,Virgin River,5.0,7.65,3000000.0,tt9077530
2023-10-01,TV (English),8,Castlevania: Nocturne,1.0,3.7,2600000.0,tt14833612
2023-10-01,TV (English),9,Sex Education,1.0,6.7167,1900000.0,tt7767422
2023-10-01,TV (English),10,The Pacific,,8.9,1700000.0,tt0374463
2023-10-01,TV (Non-English),1,Dear Child,1.0,4.8167,5300000.0,tt20863760
2023-10-01,TV (Non-English),2,Song of the Bandits,1.0,8.6333,2600000.0,tt21627436
2023-10-01,TV (Non-English),3,The Devil's Plan,1.0,4.4333,2300000.0,tt27995115
2023-10-01,TV (Non-English),4,Burning Body,1.0,6.5667,2200000.0,tt22073352
2023-10-01,TV (Non-English),5,KENGAN ASHURA,2.0,5.0667,1900000.0,tt9058134
2023-10-01,TV (Non-English),6,Thursday's Widows,1.0,4.4667,1800000.0,tt27787857
2023-10-01,TV (Non-English),7,Destined with You,1.0,13.05,1500000.0,tt27974068
2023-10-01,TV (Non-English),8,A Time Called You,1.0,12.1833,1000000.0,tt21627438
2023-10-01,TV (Non-English),9,Behind Your Touch,1.0,0.0,900000.0,tt26314390
2023-10-01,TV (Non-English),10,Class Act,1.0,6.3167,800000.0,tt0108727
2023-09-24,Films (English),1,Love at First Sight,,1.5167,15200000.0,tt2183014
2023-09-24,Films (English),2,Spy Kids: Armageddon,,1.6333,6700000.0,tt13978520
2023-09-24,Films (English),3,In Time,,1.8167,5700000.0,tt1637688
2023-09-24,Films (English),4,The Black Book,,2.0667,5600000.0,tt24083908
2023-09-24,Films (English),5,The Croods: A New Age,,1.5833,5500000.0,tt2850386
2023-09-24,Films (English),6,The Wolf of Wall Street,,3.0,3200000.0,tt0993846
2023-09-24,Films (English),7,The Deep House,,1.3667,2900000.0,tt11686490
2023-09-24,Films (English),8,Crawl,,1.45,2900000.0,tt8364368
2023-09-24,Films (English),9,Mother's Day,,1.9667,2600000.0,tt4824302
2023-09-24,Films (English),10,You Are So Not Invited to My Bat Mitzvah,,1.7333,2500000.0,tt21276878
2023-09-24,Films (Non-English),1,Jaane Jaan,,2.3167,8100000.0,tt15748830
2023-09-24,Films (Non-English),2,Ehrengard: The Art of Seduction,,1.5833,3800000.0,tt27727074
2023-09-24,Films (Non-English),3,Once Upon a Crime,,1.7833,3500000.0,tt15944018
2023-09-24,Films (Non-English),4,Rosa Peral's Tapes,,1.35,2000000.0,tt28687398
2023-09-24,Films (Non-English),5,Freestyle,,1.4667,1800000.0,tt28366647
2023-09-24,Films (Non-English),6,El Conde,,1.85,1400000.0,tt21113540
2023-09-24,Films (Non-English),7,How To Deal With a Heartbreak,,1.7,1100000.0,tt28765467
2023-09-24,Films (Non-English),9,Bhola Shankar,,2.6167,900000.0,tt8499724
2023-09-24,Films (Non-English),10,The Great Seduction,,1.6,800000.0,tt14542504
2023-09-24,TV (English),1,Sex Education,4.0,8.1,12000000.0,tt7767422
2023-09-24,TV (English),2,Murdaugh Murders: A Southern Scandal,2.0,1.7833,7600000.0,tt26340238
2023-09-24,TV (English),3,ONE PIECE,1.0,7.5667,6200000.0,tt11737520
2023-09-24,TV (English),4,Virgin River,5.0,7.65,4900000.0,tt9077530
2023-09-24,TV (English),6,Surviving Summer,2.0,3.8167,3400000.0,tt13925166
2023-09-24,TV (English),7,Love Is Blind,5.0,3.9167,3000000.0,tt2620890
2023-09-24,TV (English),9,The Pacific,,8.9,2400000.0,tt0374463
2023-09-24,TV (English),10,Murdaugh Murders: A Southern Scandal,1.0,2.3833,2400000.0,tt26340238
2023-09-24,TV (Non-English),1,Dear Child,1.0,4.8167,10400000.0,tt20863760
2023-09-24,TV (Non-English),2,Burning Body,1.0,6.5667,3700000.0,tt22073352
2023-09-24,TV (Non-English),3,Thursday's Widows,1.0,4.4667,3700000.0,tt27787857
