country_name,country_iso2,week,category,weekly_rank,show_title,season_title,imdb_tconst
Argentina,AR,2021-10-17,TV,1,Squid Game,1.0,tt10919420
Argentina,AR,2021-10-17,Films,2,The Forgotten Battle,,tt10521092
Argentina,AR,2021-10-17,TV,2,Maid,1.0,tt11337908
Argentina,AR,2021-10-17,Films,3,"My Brother, My Sister",,tt13003996
Argentina,AR,2021-10-17,TV,3,The Five Juanas,1.0,tt15377930
Argentina,AR,2021-10-17,Films,4,Ma,,tt39232292
Argentina,AR,2021-10-17,TV,4,You,3.0,tt33513572
Argentina,AR,2021-10-17,Films,5,The Guilty,,tt9421570
Argentina,AR,2021-10-17,TV,5,Grey's Anatomy,17.0,tt0413573
Argentina,AR,2021-10-17,Films,6,Fever Dream,,tt30395629
Argentina,AR,2021-10-17,TV,6,The Chestnut Man,1.0,tt10834220
Argentina,AR,2021-10-17,Films,7,Redemption,,tt28701145
Argentina,AR,2021-10-17,TV,7,Sex Education,3.0,tt7767422
Argentina,AR,2021-10-17,Films,8,Security,,tt37154045
Argentina,AR,2021-10-17,TV,8,My Name,1.0,tt12940504
Argentina,AR,2021-10-17,Films,9,Grudge,,tt34762383
Argentina,AR,2021-10-17,TV,9,PAW Patrol,6.0,tt8467618
Argentina,AR,2021-10-17,Films,10,There's Someone Inside Your House,,tt8150814
Argentina,AR,2021-10-17,TV,10,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-10-24,Films,1,The Forgotten Battle,,tt10521092
Argentina,AR,2021-10-24,TV,1,You,3.0,tt33513572
Argentina,AR,2021-10-24,Films,2,Night Teeth,,tt10763820
Argentina,AR,2021-10-24,TV,2,Maid,1.0,tt11337908
Argentina,AR,2021-10-24,Films,3,The Trip,,tt2359393
Argentina,AR,2021-10-24,TV,3,Squid Game,1.0,tt10919420
Argentina,AR,2021-10-24,Films,4,Venom,,tt17528598
Argentina,AR,2021-10-24,TV,4,My Name,1.0,tt12940504
Argentina,AR,2021-10-24,Films,5,A Dog's Journey,,tt8385474
Argentina,AR,2021-10-24,TV,5,The Five Juanas,1.0,tt15377930
Argentina,AR,2021-10-24,Films,6,In for a Murder,,tt13377488
Argentina,AR,2021-10-24,TV,6,You,1.0,tt33513572
Argentina,AR,2021-10-24,Films,7,Street Kings,,tt0421073
Argentina,AR,2021-10-24,TV,7,Grey's Anatomy,17.0,tt0413573
Argentina,AR,2021-10-24,Films,8,What Happens in Vegas,,tt1033643
Argentina,AR,2021-10-24,TV,8,The Chestnut Man,1.0,tt10834220
Argentina,AR,2021-10-24,Films,9,Gran Torino,,tt1205489
Argentina,AR,2021-10-24,TV,9,You,2.0,tt33513572
Argentina,AR,2021-10-24,Films,10,The Four of Us,,tt15360916
Argentina,AR,2021-10-24,TV,10,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-10-31,Films,1,Army of Thieves,,tt13024674
Argentina,AR,2021-10-31,TV,1,Maid,1.0,tt11337908
Argentina,AR,2021-10-31,Films,2,Final Score,,tt34436818
Argentina,AR,2021-10-31,TV,2,You,3.0,tt33513572
Argentina,AR,2021-10-31,Films,3,Hypnotic,,tt8080204
Argentina,AR,2021-10-31,TV,3,Squid Game,1.0,tt10919420
Argentina,AR,2021-10-31,Films,5,A Dog's Journey,,tt8385474
Argentina,AR,2021-10-31,TV,5,The Five Juanas,1.0,tt15377930
Argentina,AR,2021-10-31,Films,6,Night Teeth,,tt10763820
Argentina,AR,2021-10-31,TV,6,Maya and the Three,1.0,tt8787772
