country_name,country_iso2,week,category,weekly_rank,season_title,imdb_tconst
Argentina,AR,2023-05-28,Films,1,,tt5616176
Argentina,AR,2023-05-28,Films,2,,tt19724192
Argentina,AR,2023-05-28,Films,3,,tt6968614
Argentina,AR,2023-05-28,Films,4,,tt7354440
Argentina,AR,2023-05-28,Films,5,,tt20119468
Argentina,AR,2023-05-28,Films,6,,tt18073328
Argentina,AR,2023-05-28,Films,7,,tt23489688
Argentina,AR,2023-05-28,Films,8,,tt21735972
Argentina,AR,2023-05-28,Films,9,,tt20256412
Argentina,AR,2023-05-28,TV,2,1.0,tt20477492
Argentina,AR,2023-05-28,TV,3,1.0,tt13064902
Argentina,AR,2023-05-28,TV,4,1.0,tt14490706
Argentina,AR,2023-05-28,TV,5,,tt14661396
Argentina,AR,2023-05-28,TV,8,1.0,tt18280522
Argentina,AR,2023-05-28,TV,10,2.0,tt18974572
Argentina,AR,2023-05-21,Films,1,,tt6968614
Argentina,AR,2023-05-21,Films,2,,tt20119468
Argentina,AR,2023-05-21,Films,4,,tt22185848
Argentina,AR,2023-05-21,Films,6,,tt15837458
Argentina,AR,2023-05-21,Films,9,,tt27197387
Argentina,AR,2023-05-21,Films,10,,tt23489688
Argentina,AR,2023-05-21,TV,1,1.0,tt20477492
Argentina,AR,2023-05-21,TV,3,,tt14661396
Argentina,AR,2023-05-21,TV,4,1.0,tt14490706
Argentina,AR,2023-05-21,TV,5,1.0,tt18280522
Argentina,AR,2023-05-21,TV,7,2.0,tt18974572
Argentina,AR,2023-05-21,TV,9,2.0,tt9012876
Argentina,AR,2023-05-21,TV,10,1.0,tt17013106
Argentina,AR,2023-05-14,Films,1,,tt6968614
Argentina,AR,2023-05-14,Films,2,,tt15837458
Argentina,AR,2023-05-14,Films,3,,tt22185848
Argentina,AR,2023-05-14,Films,6,,tt27197387
Argentina,AR,2023-05-14,Films,10,,tt22488414
Argentina,AR,2023-05-14,TV,1,,tt14661396
Argentina,AR,2023-05-14,TV,2,1.0,tt18280522
Argentina,AR,2023-05-14,TV,3,2.0,tt18974572
