tconst	averageRating	numVotes
tt0054763	7.0	1157
tt0054854	7.2	1387
tt0054861	6.6	1560
tt0054949	7.4	3040
tt0054953	7.5	59294
tt0054964	6.9	67
tt0055018	7.7	35862
tt0055019	7.5	4548
tt0055035	7.0	598
tt0055049	6.3	97
tt0055082	7.5	6203
tt0055112	8.0	78
tt0055151	5.8	1209
tt0055184	7.2	25329
tt0055186	6.6	419
tt0055247	6.5	309
tt0055270	7.2	1127
tt0055401	6.2	263
tt0055402	6.1	387
tt0055441	6.8	367
tt0055614	7.6	127083
tt0055663	7.9	93
tt0055752	5.3	13
tt0055781	4.7	339
tt0055794	5.4	14
tt0055824	7.7	34471
tt0055902	4.7	1576
tt0055954	7.3	88
tt0056121	7.2	1999
tt0056132	7.5	12
tt0056141	7.3	2918
tt0056218	7.9	84298
tt0056284	6.2	58
tt0056347	6.4	4139
tt0056356	7.2	1073
tt0056375	7.3	16
tt0056467	6.3	741
tt0056485	5.7	272
tt0056492	6.6	77
tt0056576	6.6	4584
tt0056739	7.4	1167
tt0056751	8.4	41242
tt0056821	6.1	34
tt0056842	5.3	74
tt0056849	6.9	8
tt0056870	6.2	350
tt0056875	5.0	7873
tt0056877	4.7	25
tt0056883	7.1	1493
tt0056933	6.9	18
tt0056935	5.6	18
tt0056965	6.8	1226
tt0057010	6.2	62
tt0057026	6.2	211
tt0057035	6.8	342
tt0057257	6.1	74
tt0057314	4.5	12
tt0057337	7.1	46
tt0057383	7.7	261
tt0057413	7.0	61275
tt0057441	5.8	203
tt0057447	5.5	861
tt0057449	6.5	15036
tt0057490	7.7	15601
tt0057496	4.9	120
tt0057522	6.2	1665
tt0057533	6.7	142
tt0057564	6.8	205
tt0057658	6.4	25
tt0057664	7.4	755
tt0057693	6.6	9047
tt0057729	8.0	23990
tt0057733	7.6	26804
tt0057741	4.4	445
tt0057765	7.7	6911
tt0057773	7.8	18496
tt0057790	7.9	5599
tt0057795	7.5	78
tt0057928	7.3	427
tt0057950	7.6	3696
tt0058099	6.9	108
tt0058164	7.1	1113
tt0058249	7.4	10370
tt0058256	6.1	24
tt0058270	6.9	175
tt0058281	6.4	441
tt0058339	6.9	264
tt0058448	6.5	495
tt0058487	7.2	169
tt0058565	7.9	102
tt0058700	6.7	23584
tt0058717	5.1	35
tt0058724	7.4	2202
tt0058792	7.4	1009
tt0058805	8.2	15041
tt0058816	7.2	2726
tt0058824	7.3	9725
tt0058849	6.9	154
tt0058893	7.6	54
tt0058898	7.0	29908
tt0058967	6.2	9
tt0058979	6.4	40
tt0058985	7.6	11453
tt0058988	5.8	510
tt0059012	7.6	11061
tt0059043	7.5	13121
tt0059057	5.2	9
tt0059112	5.9	2019
tt0059153	7.2	134
tt0059174	7.5	13
tt0059259	6.4	197
tt0059265	6.9	19
tt0059274	7.8	16386
tt0059312	6.9	484
tt0059418	6.7	9478
tt0059587	6.4	123
tt0059710	5.8	3961
tt0059753	7.6	7993
tt0059773	6.7	455
tt0059803	7.4	630
tt0059829	7.7	1136
tt0059933	6.0	80
tt0059978	8.1	5942
tt0059991	7.3	3578
tt0059994	7.0	38
tt0060002	7.2	171
tt0060009	7.9	12819
tt0060028	8.4	99970
tt0060037	7.2	2925
tt0060086	7.0	16768
tt0060088	5.9	235
tt0060089	6.6	1135
tt0060116	7.5	1199
tt0060201	7.8	794
tt0060223	7.5	2665
tt0060307	5.8	3585
tt0060315	7.2	33780
tt0060368	5.5	32
tt0060371	7.6	6839
tt0060396	4.7	601
tt0060542	5.5	52
tt0060544	5.6	584
tt0060581	5.9	961
tt0060595	6.1	38
tt0060647	6.2	4881
tt0060742	8.3	5976
tt0060818	6.2	2449
tt0060862	7.3	20566
tt0060891	7.5	3522
tt0060911	7.1	194
tt0060953	7.6	12
tt0061029	7.8	1592
tt0061036	6.6	753
tt0061037	5.9	2262
tt0061042	7.7	3563
tt0061210	7.1	66
tt0061227	6.8	31
tt0061235	6.2	22
tt0061250	6.6	1836
tt0061270	6.7	147
tt0061288	7.0	113
tt0061300	7.2	3799
tt0061301	7.3	4570
tt0061353	5.8	14
tt0061358	6.8	105
tt0061359	7.0	1097
tt0061391	6.7	10344
tt0061421	6.0	395
tt0061452	5.0	34666
tt0061495	7.3	10746
tt0061547	6.6	345
tt0061556	6.7	4684
tt0061605	6.4	1231
tt0061648	7.2	6749
tt0061748	5.1	903
tt0061852	7.6	211774
tt0061913	7.3	966
tt0061934	6.7	361
tt0062000	7.0	67
tt0062047	6.0	531
tt0062090	7.6	106
tt0062096	6.3	141
tt0062214	8.4	14
tt0062310	7.1	3559
tt0062395	6.1	5796
tt0062400	7.0	44
tt0062581	8.8	40
tt0062596	7.5	209
tt0062597	7.8	117
tt0062663	7.3	1015
tt0062827	5.9	2927
tt0063032	7.7	20187
tt0063051	6.6	739
tt0063155	5.8	211
tt0063159	6.1	646
tt0063228	5.9	55
tt0063413	6.0	2043
tt0063415	7.4	46668
tt0063442	8.0	209571
tt0063462	7.5	64476
tt0063465	5.5	709
tt0063477	7.2	1519
tt0063518	7.6	37107
tt0063560	6.3	146
tt0063580	6.2	498
tt0063581	6.3	183
tt0063611	8.0	16269
tt0063669	5.5	79
tt0063676	7.8	14
tt0063876	7.4	2142
tt0063962	7.9	4613
tt0064038	8.0	2791
tt0064087	5.3	483
tt0064116	8.5	381852
tt0064118	7.4	10827
tt0064144	6.9	146
tt0064213	6.2	88
tt0064214	7.8	30
tt0064285	7.4	9461
tt0064312	7.1	77
tt0064396	5.3	185
tt0064418	7.1	18412
tt0064429	7.5	2504
tt0064448	6.1	850
tt0064490	7.2	1085
tt0064492	6.4	137
tt0064505	7.2	53925
tt0064506	7.4	1305
tt0064573	6.9	2394
tt0064638	6.4	4297
tt0064643	5.4	943
tt0064703	7.7	2122
tt0064713	5.2	324
tt0064714	7.2	1114
tt0064787	6.3	1641
tt0064881	6.8	746
tt0064897	7.0	3650
tt0065067	8.6	8432
tt0065094	5.7	388
tt0065095	4.6	11
tt0065117	6.9	244
tt0065126	7.4	54711
tt0065159	6.1	15
tt0065161	5.4	382
tt0065234	8.1	33707
tt0065301	6.2	48
tt0065307	6.2	2562
tt0065310	7.3	109
tt0065328	7.2	16
